1000000000 1000000000 50000
139495724 79705611 826344175 79705611
364385788 723750851 967551502 723750851
95549923 140263942 95549923 712655785
309332921 505532604 951694296 505532604
857622138 379670766 857622138 921542225
386343451 251912806 386343451 763533802
426631989 316900085 965482454 316900085
479881232 215403707 479881232 735656752
8811706 472345947 8811706 974302680
208044390 310397975 957610465 310397975
425460074 519960146 978271399 519960146
927502378 376798031 927502378 972210710
3384209 928280488 952811205 928280488
151295006 38382203 913436608 38382203
55676312 135434672 899370946 135434672
379405028 344381395 379405028 906638947
18895516 329964029 18895516 915457064
253055461 40067623 755743081 40067623
609347049 75516013 609347049 673740580
270198213 586120659 972158323 586120659
848601892 157947764 848601892 949828645
267525072 170318714 267525072 906188548
423676656 254232425 956111445 254232425
381869778 448533055 939311042 448533055
336192006 1776219 923678636 1776219
220734853 923373537 765350581 923373537
982303976 45067173 982303976 719695310
705529796 21033934 705529796 949052215
104552909 107336073 104552909 614405371
177712430 346713765 755983633 346713765
384663311 493451829 384663311 998471186
512873004 64059485 512873004 673101843
638273993 318888771 638273993 941213975
124786579 360556243 124786579 893323454
223702259 14713565 223702259 748317675
24584343 31122760 24584343 667755925
486717976 315279215 486717976 967730338
845398362 179948083 845398362 758939822
205891869 209017799 205891869 925660556
342713895 627643759 920747591 627643759
444669446 103622339 444669446 704969973
41765255 224197802 775438674 224197802
424924955 380365793 424924955 912999067
480006572 412685114 982696183 412685114
945230918 303197898 945230918 808112018
919688821 158627284 919688821 887409353
529378664 493665391 529378664 993749570
690943905 437620665 690943905 937878439
762605686 43008033 762605686 868421426
185821466 465263109 185821466 982929840
19886479 892610696 955679618 892610696
172537870 487477727 911127067 487477727
404269178 584298916 978171489 584298916
268334035 104433874 986493424 104433874
137686796 411870097 928791428 411870097
842802447 40479418 842802447 849418642
251610359 68195040 251610359 774985694
814575178 149576047 814575178 664540352
254984416 776721701 778965902 776721701
332369817 214683632 332369817 925429128
226006744 438287879 824669302 438287879
893396543 184233842 893396543 951071081
66974240 146304361 66974240 710239734
834873200 252981672 834873200 817477912
428596849 680440364 928792082 680440364
793539083 410968170 793539083 973789378
421443904 793138273 989852014 793138273
707325306 340399519 707325306 903386019
847253427 7160445 847253427 643746575
144720455 268393197 144720455 944316119
311453487 180031390 311453487 985405956
331075656 221491727 331075656 847669036
597044348 231536246 597044348 733283641
379222958 724477285 928314521 724477285
360059301 661077333 948877334 661077333
344385453 24901907 853204248 24901907
264460105 656139522 872998622 656139522
391790405 493368688 970613119 493368688
184094704 631522745 958880802 631522745
989059369 227228416 989059369 727902092
294326309 164378188 294326309 906829003
144605659 118608323 144605659 743717494
106911219 894210855 984598042 894210855
320058513 488995773 320058513 991554497
343695805 901394960 970184202 901394960
706257622 74959001 706257622 902096481
280031685 566365500 790781928 566365500
460845251 263660282 992703495 263660282
425086545 257113799 950335020 257113799
163696438 211367817 163696438 997349201
72886863 750891431 670547009 750891431
418955964 280547265 418955964 960521017
186775179 473677370 186775179 979319819
53051844 131340638 912130598 131340638
389677745 60950242 389677745 575867843
336944547 409410389 848878685 409410389
585210695 150952737 585210695 783186334
587085618 195031006 587085618 769153080
197204399 320700136 197204399 969474239
139336787 771010466 676088862 771010466
301537852 617279065 845317318 617279065
395573137 710263983 958227176 710263983
135565761 307182268 135565761 816833401
312719495 203494515 952062362 203494515
393094308 412150452 393094308 987354160
234985938 684734829 758323187 684734829
193189898 365575895 794735036 365575895
91436405 193205753 986269827 193205753
286329058 391922596 975343269 391922596
38813399 41581180 935381264 41581180
437551064 887208683 939722907 887208683
483505746 367744004 991657019 367744004
568761263 92232586 568761263 985906019
262688181 738740549 969793498 738740549
965435901 70000762 965435901 971649564
212639926 85736465 212639926 841269406
215042414 785326319 952965925 785326319
228731513 433686920 228731513 939434088
8849321 888347693 560648173 888347693
20870652 444873689 580781643 444873689
258782538 907472408 772485381 907472408
149416648 725837668 969129297 725837668
384940719 496462481 958940089 496462481
124368574 773012997 908193765 773012997
206253106 783939653 978383129 783939653
27785951 422016013 27785951 942559593
816683918 353959051 816683918 864371669
149641540 107799991 149641540 634331782
269498678 477346222 269498678 989665351
67512795 237775959 67512795 969425624
15349750 532919973 771612803 532919973
23455485 66095732 817348801 66095732
533518985 152639145 533518985 747952717
489808931 693949822 996547493 693949822
270642649 881437212 884559775 881437212
806819967 208055907 806819967 948176835
16434653 881851051 882760905 881851051
331196392 971253389 997616951 971253389
187448125 392590778 187448125 977586566
382418246 32377086 918148977 32377086
201555758 847478986 882170850 847478986
300910691 35520997 300910691 936571755
717792609 321802109 717792609 871317054
697751799 278397319 697751799 931285225
421999121 454760744 421999121 984986351
482193685 688993235 992546322 688993235
431528538 844992001 966358470 844992001
657569493 32538232 657569493 918541388
336210033 214503870 956323503 214503870
15293410 277582850 665362017 277582850
71798014 348761638 71798014 942031546
335022548 867763907 953345226 867763907
295266295 21328779 895690380 21328779
36633789 531928971 977418337 531928971
91940626 263058027 91940626 979734187
22498382 447106310 909466024 447106310
385003693 92190290 385003693 688175283
263755954 797913775 840507276 797913775
891653339 318984778 891653339 888403322
126570230 498982867 126570230 999821280
908136923 401706993 908136923 927837727
271034560 175368910 861258523 175368910
459456445 868127240 965828248 868127240
10692588 586994034 980028731 586994034
43285030 71015743 602197410 71015743
356926086 248713468 356926086 964583909
445884659 896713679 946530591 896713679
420037893 221814677 960923779 221814677
242954085 145036395 242954085 840583325
116700274 465704321 639062684 465704321
262561864 657911894 950741156 657911894
291853994 310680767 964181574 310680767
207529418 441573338 207529418 995965586
401785087 595032747 913427159 595032747
167560002 501839992 810389681 501839992
337955887 177945222 846024603 177945222
381793679 322589645 990142443 322589645
641082485 180006872 641082485 742040857
198062945 270850923 985808456 270850923
938314924 461129380 938314924 962797178
140649953 719967887 735062369 719967887
113450531 887940792 916997050 887940792
484143209 547644645 998315184 547644645
140309920 209774621 650777727 209774621
234480028 389625739 796989182 389625739
652450679 38230717 652450679 702276218
525732319 269748552 525732319 989651976
321054255 392485907 980258153 392485907
353213917 258479880 353213917 922374408
182979473 951181940 767492392 951181940
216091555 140235502 216091555 868659123
427787723 981229064 963430351 981229064
122131634 615358441 743269008 615358441
82267180 371221936 82267180 987348725
355793299 405681282 355793299 973317234
632994355 84360521 632994355 787999524
69346515 362436247 69346515 965410409
559176723 49705201 559176723 831669470
98561566 346656226 878450489 346656226
156864414 495066652 156864414 998287609
283736485 293278811 283736485 834881684
120086573 989371541 651313093 989371541
40971312 408277956 686100735 408277956
62115787 772503653 859542653 772503653
516323012 331778061 516323012 996408028
653117587 234704187 653117587 999097065
88918946 133197921 88918946 891526628
113201381 305471175 911066923 305471175
516377346 345351082 516377346 945262488
849319252 476935406 849319252 984020035
825342230 415193847 825342230 979575731
95266272 41618782 95266272 647780500
87389570 929083829 709365996 929083829
108049082 879513092 608415767 879513092
325958073 73182779 325958073 796170861
205414826 968677214 878450559 968677214
378973025 953850247 932612089 953850247
321357576 373241848 849094961 373241848
148814594 304669699 148814594 968096932
175908046 163498142 175908046 865719984
927754497 262018033 927754497 844103663
184098212 627802137 716321077 627802137
400616915 331277719 400616915 992449999
88142593 325719515 866430322 325719515
10968265 238797822 10968265 998270145
459468026 372751810 459468026 985113146
688423546 338598716 688423546 840258977
761116522 391917627 761116522 997355735
1969839 187066421 722812459 187066421
423572876 314456450 991440843 314456450
495515396 207243919 495515396 761507173
14572871 725080147 827840339 725080147
634999028 458262940 634999028 981844511
122092738 58949696 122092738 863600386
35779729 747882380 806525719 747882380
415584556 216320209 415584556 881414536
32027919 787982374 934150872 787982374
203791535 668714945 756462889 668714945
467308020 368360142 467308020 900078302
995903576 78394336 995903576 700528967
140531949 210280801 815599771 210280801
894248872 317809394 894248872 972836573
148214539 965680427 695224873 965680427
291090376 341438532 291090376 930136426
940840929 482993970 940840929 991760125
511529773 382828954 511529773 989552082
401235914 223798896 931247506 223798896
380743306 396135316 889886416 396135316
411486486 726159542 980161155 726159542
67770665 156442449 784981538 156442449
252769485 198369146 252769485 780446169
340547565 160449244 340547565 712321563
261959937 843380656 832693631 843380656
847711828 70662412 847711828 613001338
27441786 292719092 639012443 292719092
785499074 20072879 785499074 753311297
392767897 550799356 985330875 550799356
501715125 378784244 501715125 944687514
606283083 332243073 606283083 891367569
628068480 321098646 628068480 964479485
30615348 200344330 729626416 200344330
166300841 712418968 721705718 712418968
290991245 290407854 952542592 290407854
871830899 229899191 871830899 843821081
39514417 11013214 39514417 707931151
342938913 636677869 927186535 636677869
63340556 660452799 995025729 660452799
718347553 100034602 718347553 860495024
881464071 212397286 881464071 945810095
540995939 177831793 540995939 987276940
859994023 368457033 859994023 984501956
449269588 178968953 449269588 971389982
681516366 326367990 681516366 868341703
59465528 367204292 59465528 968192932
862691218 302543451 862691218 968317851
243890030 923371008 947945749 923371008
512758654 2016901 512758654 751238622
110944379 993013626 887423298 993013626
335971319 706797038 853010704 706797038
246760155 467566825 246760155 998540388
140396781 878698046 877087754 878698046
61407454 913004738 964928980 913004738
897633927 228214110 897633927 983900504
590442066 258550998 590442066 890401712
375487525 699164949 942378164 699164949
87575939 456314360 87575939 987025622
201390577 339738367 823316793 339738367
337924298 209676858 871246173 209676858
94846535 353152717 94846535 899341689
291770406 371327652 917290006 371327652
141845083 725523205 851604377 725523205
745566893 19176028 745566893 964569080
173684120 341328764 173684120 849856805
576711159 468558092 576711159 981242139
643996211 481662417 643996211 991624352
811527671 450839500 811527671 956920542
947730876 490863377 947730876 993229964
342544667 743467045 880021065 743467045
19276909 485667165 19276909 999018726
399653030 19780970 399653030 952299227
329207963 299921564 926288253 299921564
786552200 109358929 786552200 765706424
991965380 111273755 991965380 803204900
498319869 480465356 999154659 480465356
223445029 52010222 779978971 52010222
44831960 114607155 688559900 114607155
686215322 333057433 686215322 874635755
215395638 249365476 215395638 961830191
91989002 300442547 91989002 866231588
56835426 888572424 926790626 888572424
388133535 157767343 388133535 956334700
565976218 81362609 565976218 711408911
233998383 205599581 939645783 205599581
561395019 301376729 561395019 804203070
367419325 858107247 880602255 858107247
271655904 302402687 271655904 878725459
79383538 418471961 79383538 950846577
379079058 68936222 995741773 68936222
159611672 740379709 723853315 740379709
598418623 66770550 598418623 701368598
932754326 370808409 932754326 892512564
281368888 170982572 281368888 822603233
855071002 339108517 855071002 971658317
893262073 415307046 893262073 997529210
119598711 327281493 701609055 327281493
27925097 373448228 648192497 373448228
831687615 282633821 831687615 866820023
154438786 45070432 154438786 920009569
620255717 30251872 620255717 916757953
204966398 471323063 810713894 471323063
414704640 370554356 414704640 890701533
843465838 186006128 843465838 739138553
481811464 460013706 982205295 460013706
238433274 293224578 238433274 964105795
704334305 120359790 704334305 753739579
354035713 38439867 354035713 581179843
500250318 43237114 500250318 935847406
478661140 576533825 995762879 576533825
474481032 852358443 995828782 852358443
40626122 964728318 787141660 964728318
289137825 453401009 289137825 958848694
87407580 9888715 965347080 9888715
548103795 321302211 548103795 992682150
15020734 338530921 15020734 894464569
55828021 334131498 55828021 870569285
340680900 315382989 340680900 916691355
297830653 197645635 297830653 860766534
403811037 231915903 914845315 231915903
483193550 962633906 998808496 962633906
797859419 22307483 797859419 779190712
659188377 275698560 659188377 923432303
50713838 60744638 652152605 60744638
767606359 310514768 767606359 970816252
299475816 185109844 299475816 985124894
265624718 273300623 265624718 874655410
83135726 216028508 798084328 216028508
17219098 15947243 17219098 757199775
9078421 132943243 706857349 132943243
151208362 543122165 795489685 543122165
87126235 71451212 87126235 660522815
920598812 132230340 920598812 854471183
669666504 308814102 669666504 931128446
245073853 754509321 888243963 754509321
810846748 277603589 810846748 848947121
123238549 457004500 123238549 962979688
68290308 217199539 68290308 860432916
378692867 246373005 999115999 246373005
82145915 151792134 82145915 948754723
758100144 476944918 758100144 987896207
333249240 49964052 882206962 49964052
173877238 663741842 702799242 663741842
430184324 428046550 430184324 969957021
978946393 92447996 978946393 770335864
347670835 989579750 988576408 989579750
190401404 494581740 190401404 997120512
366713351 450412906 953967724 450412906
942240967 252269109 942240967 753115373
419830291 973831820 958710208 973831820
132240270 134399317 132240270 875615872
173597379 359963089 714235105 359963089
661935493 287587229 661935493 933715922
363075809 243876361 363075809 933172547
329899359 279479178 329899359 994792197
208626596 413023907 943431176 413023907
745161872 470649626 745161872 999080705
137704543 101855279 137704543 640183828
31920891 405593530 697532723 405593530
792355523 225195169 792355523 834055429
315116589 448272226 315116589 962332494
465708935 682477250 997872213 682477250
161116955 369446066 161116955 886908281
120811300 640421202 669343174 640421202
395639103 339704699 936960549 339704699
58058573 519339247 579232591 519339247
180854750 837924378 683115220 837924378
621385807 55418369 621385807 655395339
236143360 395909089 236143360 998382745
297219197 913392320 803912875 913392320
242839927 390594886 884874032 390594886
119999124 358425905 119999124 876742319
338353432 134922510 917880044 134922510
164524599 373587420 164524599 915978885
142036437 94901335 647155925 94901335
731673374 477117266 731673374 977466599
385487566 359428704 941872356 359428704
226792270 540348809 876221073 540348809
59478258 511777387 794890796 511777387
185649778 743088826 831449216 743088826
406877013 250872410 406877013 844298909
788510186 266897283 788510186 850937060
235918425 648160613 800970351 648160613
51820515 292882680 706699143 292882680
246132433 72278088 802301298 72278088
112979140 125602902 112979140 959503770
35809167 466214535 544825356 466214535
194958836 257793904 194958836 823905358
127262855 268589693 708229692 268589693
89578997 211316435 89578997 920263969
323168136 271919502 323168136 994868527
439721638 751808773 983851010 751808773
374416065 889532240 993401663 889532240
103550289 100209819 103550289 759713483
230522350 103047334 800059028 103047334
299714829 295512209 801780856 295512209
40681185 50277045 40681185 793381450
478367690 372570996 478367690 925366460
72281619 60821853 774014170 60821853
829023561 330916581 829023561 933781540
464171987 277119888 994125294 277119888
105166722 35555573 105166722 816029216
268931903 840070558 893527017 840070558
378022176 243960237 378022176 868215768
358490607 632858994 989902323 632858994
41339507 514756266 782875978 514756266
303191699 767076922 987469698 767076922
818189230 396253331 818189230 935855766
272675086 148847778 272675086 765966935
388775675 195831672 986152206 195831672
331038218 491626152 331038218 992973680
338871652 799309211 941040644 799309211
419361538 28078625 419361538 834229648
337057892 758094009 892442901 758094009
22998708 566598180 763391750 566598180
455041133 882480032 990888855 882480032
63725849 135181165 63725849 747210895
313074152 406887790 875703957 406887790
301358084 644050165 911509308 644050165
279393042 746789803 954717851 746789803
231743892 230650545 865532107 230650545
105247717 129085326 105247717 897483130
288151936 604233611 825629300 604233611
191039161 158741062 715566813 158741062
941407934 160546072 941407934 744610003
933255960 146372811 933255960 669342221
955058551 4694098 955058551 831869845
172232059 121442328 172232059 873810721
431593877 358840042 939079833 358840042
428231051 615862939 956243747 615862939
129822571 935101227 909651561 935101227
228629491 649522 785361254 649522
414461027 282690273 917348147 282690273
324811540 404468580 324811540 952644649
288805010 203126044 288805010 915971079
47081771 293022621 47081771 892669505
526162356 484236657 526162356 994528473
549824890 498456716 549824890 999557408
267076044 767067685 839035207 767067685
580224064 22343018 580224064 755786710
803122928 492325318 803122928 995344167
447316376 168672956 972935739 168672956
680527154 142533843 680527154 819852461
227956910 737055863 792187684 737055863
321353406 589423920 947912682 589423920
130491028 131048951 642258110 131048951
844952836 87305271 844952836 588429540
266514906 158030472 266514906 678388087
451115960 392893513 451115960 982824541
244314727 2462665 814199532 2462665
679947917 334198836 679947917 998023027
422570511 670986179 935720806 670986179
60642860 198421052 60642860 859703715
489361084 408215231 489361084 966240942
339012737 1551368 339012737 757786848
242571312 218797860 242571312 784010721
186125455 216849147 964495194 216849147
13003721 776453221 920652171 776453221
151582319 248573961 792155349 248573961
482951312 737645622 991382645 737645622
950412001 290711277 950412001 834035804
304690886 272893572 304690886 905202694
707558491 63987184 707558491 753887445
390723866 539138718 972836397 539138718
268317095 919661876 976126709 919661876
282284575 487150423 282284575 992731810
409644205 36004025 960508196 36004025
388037606 338949828 388037606 936219329
738614085 423458112 738614085 977807539
289150857 7995233 891036946 7995233
829769306 160811996 829769306 794871688
208073409 395680592 208073409 997839148
75999814 87649269 75999814 783788781
230181477 538137583 890258943 538137583
68993122 421167602 68993122 969221043
780489708 97058117 780489708 877184713
595469526 323491446 595469526 890715535
603783703 99644011 603783703 796372355
437020895 334932182 951690688 334932182
815024095 237561134 815024095 879054700
715293978 126819034 715293978 663591145
418044338 424706681 418044338 971940635
300170686 612832386 831998689 612832386
148591760 101547179 148591760 716171962
566342420 216638492 566342420 826640912
34937939 165297141 701008690 165297141
316175105 354990229 918930837 354990229
9017844 996803600 902516439 996803600
476132107 80581886 476132107 641880728
203677314 98458607 950410162 98458607
825968419 5798201 825968419 626507059
486259104 918062421 989264791 918062421
890441192 299245634 890441192 913004021
846761369 453038502 846761369 957591645
35649581 311873548 35649581 966901673
14630992 377119537 14630992 896589416
371579621 675005884 910038512 675005884
188087251 526670722 808977879 526670722
62418538 40553523 62418538 921224232
972200849 124562500 972200849 668624192
930970503 28229047 930970503 628826028
494082256 352132648 494082256 888136767
486041350 389028462 486041350 952790945
43945647 908501624 869954434 908501624
122884449 5506970 122884449 770269711
10994783 45663237 828630284 45663237
410190716 477512384 410190716 997533484
127750022 543708865 785735339 543708865
802017294 204751719 802017294 990297008
499985126 212152577 999998330 212152577
873014249 178658627 873014249 900088737
735220374 122984047 735220374 803170505
235713098 126280334 235713098 812375127
668379006 291459423 668379006 976183099
349341197 16930514 982674223 16930514
439793531 466260081 439793531 983829506
765935713 278527656 765935713 923855074
873098849 177978234 873098849 875957087
945331822 121595410 945331822 840976617
444868550 477337688 444868550 997157456
290060224 45142143 805418066 45142143
444678850 862872083 999092812 862872083
591200291 190497849 591200291 845352466
272077329 407022850 969285726 407022850
291943393 620242093 829565590 620242093
423707275 100095463 957461139 100095463
246638300 492611894 246638300 995710272
236224922 69825050 922958268 69825050
452118592 157020099 981804705 157020099
272213565 873735926 886042276 873735926
844480000 267504899 844480000 786024881
230674655 356382038 980806141 356382038
206685178 296397530 206685178 900131220
651360306 79037879 651360306 669896923
180801648 204486943 180801648 770319973
556651484 45470460 556651484 577311915
120370312 25959270 623801624 25959270
221430272 65226978 221430272 804616282
945896043 253609058 945896043 784127577
16879397 558100750 610460211 558100750
330525833 370408705 915012756 370408705
157957204 368017852 157957204 996687861
402149646 487101201 402149646 993650056
197650811 711503704 958782491 711503704
433240349 286486546 433240349 994656526
248097984 887511673 864689491 887511673
248743061 96652584 248743061 880342703
618421069 492336117 618421069 995938527
837049763 346402671 837049763 925644686
340574485 49952078 340574485 629649876
230887520 964145663 744119952 964145663
786278814 358987545 786278814 985798975
26254154 142138041 808815518 142138041
448335515 244518770 968291609 244518770
474797495 665142611 985109189 665142611
356374960 119735483 356374960 882759558
290957322 305399417 290957322 917900502
976572232 32823180 976572232 619306489
129746048 682525324 907882229 682525324
203650407 970963842 970112736 970963842
386995944 775244826 944613932 775244826
42458160 765057186 558065528 765057186
939155024 42875960 939155024 676152029
9252999 256200554 889782687 256200554
177183285 288286632 177183285 850921710
147577375 282951068 147577375 873167428
215276672 289350381 890357055 289350381
3919935 917606071 580093645 917606071
499167427 155800664 499167427 841871707
205657124 923121126 794497434 923121126
617953149 35687055 617953149 828531474
123546229 198127394 950265358 198127394
301891209 139970728 301891209 797638617
155984369 305649362 155984369 931716758
408848264 85471707 935957284 85471707
490896279 335528985 998528166 335528985
233108068 162757790 233108068 970571090
586060898 2752857 586060898 930755518
400181220 335980215 974592095 335980215
921593488 18303104 921593488 654813949
844287528 173420235 844287528 882573694
276074665 983201157 904259455 983201157
340465371 194576943 340465371 923917936
10525511 381442185 10525511 925576526
76207057 46086191 998259954 46086191
968811650 445362407 968811650 955859160
289614947 574104422 895045042 574104422
155412215 195225819 155412215 959539100
437013499 413042107 437013499 933136574
287108337 25796420 287108337 992516013
279451723 332330381 279451723 989756879
671564250 291744860 671564250 909182898
101420365 534007353 737081317 534007353
981476082 376538572 981476082 888436949
419319327 496216327 958457534 496216327
856642695 492588652 856642695 998113919
52811046 652755396 691055364 652755396
60021091 299365830 573993586 299365830
500820332 106371714 500820332 897784844
89048721 85624386 89048721 835073430
252908944 356118808 973319706 356118808
447823334 678309283 949245467 678309283
579615243 317901528 579615243 848686054
453745775 729678570 959512001 729678570
262296465 176271522 262296465 971698800
446811258 934674883 985547177 934674883
155363194 220128665 912574885 220128665
16018501 175463765 589451191 175463765
73932758 363046446 73932758 994694654
264670696 33481848 992948875 33481848
47008501 673223250 824131250 673223250
53737310 163553371 589833642 163553371
283954375 138464667 283954375 934177152
536336606 2306481 536336606 588457539
218631885 597837854 951890057 597837854
627261047 316997236 627261047 931018005
100529937 215964709 100529937 992532683
297253496 194220995 297253496 897635739
292330272 427770405 846698604 427770405
240771875 396307120 790165933 396307120
173140673 78740649 987302733 78740649
250370790 324554890 250370790 924118276
255853674 172688314 255853674 772914064
221595133 386804045 856813849 386804045
731282592 431681165 731282592 943821532
433231049 517473798 957020862 517473798
