1000000000 1000000000 100000
862411424 228668974 862411424 883932322
474251782 848398633 474251782 849571743
423571304 123028116 443237296 123028116
213341002 301561745 827739133 301561745
208210007 287288041 793959384 287288041
10265048 139038428 746210494 139038428
322289035 690067833 688649717 690067833
421617340 110700564 421617340 720117412
938049812 260965198 938049812 607608035
534213322 815944876 981288666 815944876
750367586 159583639 750367586 517995022
467581218 632073254 467581218 766608935
866431568 863978143 946372571 863978143
128410322 394350518 987452174 394350518
30716373 224247883 30716373 831680296
240150484 397503776 836328806 397503776
408017777 272617507 610300600 272617507
100268148 418743219 639161469 418743219
848642559 79117085 848642559 110438148
353777530 43314938 353777530 542598485
634263192 77626434 634263192 618667369
463434926 360224059 463434926 750943936
673238538 71457706 757741201 71457706
130603317 184348119 130603317 778580824
260142548 76986298 260142548 405059479
42842648 910006431 478379115 910006431
133722224 404150601 186120576 404150601
281588684 403177482 314051252 403177482
281241174 24693148 281241174 140231201
519236617 352204197 587179819 352204197
73557232 513322440 755403762 513322440
17372400 191144919 642973812 191144919
252348415 41596762 252348415 973635451
276979704 510235537 276979704 864406136
612175052 258456873 668836471 258456873
124759079 161772976 124759079 796895418
491303106 594509232 491303106 870624463
119198567 616063064 928054767 616063064
952386859 978845337 977423058 978845337
134198290 548030461 817911619 548030461
165794217 745805159 802835773 745805159
388557577 685300758 606209853 685300758
281702043 599782131 281702043 989188896
153737761 168929684 494472355 168929684
23675109 61244157 651679362 61244157
463423999 529267987 898341015 529267987
363543466 161414918 363543466 941292290
5841948 304853772 850228331 304853772
645906517 432518458 645906517 449376065
355085983 401526571 355085983 702851024
968344826 823692055 968344826 957123652
253572783 171915268 253572783 768539148
424138229 64376682 424138229 541140461
69181359 1474945 69181359 93963441
405637668 710590490 405637668 996396032
467946010 316478355 467946010 490307484
306101153 584185450 306101153 936810912
39961317 207318535 39961317 592347788
32196282 443952466 249886998 443952466
71889908 297054536 71889908 365572277
508354193 464786470 509775955 464786470
960657881 54607280 960657881 936529069
87680813 380965351 87680813 876937350
91002908 262327392 91002908 759021750
38825845 936175192 661269570 936175192
761188569 19339475 761188569 183786792
108896727 197132911 652258083 197132911
491983196 650870417 744572445 650870417
387683044 9004995 749451562 9004995
294572056 240428752 294572056 667122433
281449637 980214784 322030874 980214784
122459764 751921123 730080423 751921123
232689368 139048905 232689368 172065037
785849610 417351332 797823695 417351332
391397268 461641824 507808575 461641824
172406470 114942634 672527410 114942634
845682272 35353717 845682272 713317012
506813211 115470123 506813211 837436536
333977609 901179822 768047117 901179822
53858155 123856873 53858155 871306373
196370235 122613642 436927924 122613642
176947410 11822692 371113429 11822692
230795743 974418212 658796556 974418212
202854311 253660683 723507032 253660683
720886797 557867198 831726591 557867198
276562226 899917956 543944275 899917956
817579708 155181415 817579708 519090574
96007303 620135392 307773806 620135392
623367791 20401895 623367791 624419085
650283602 168324521 650283602 214633426
662814631 268670268 662814631 489300950
125067784 338682738 125067784 539374015
5154953 846561160 355450641 846561160
192011476 414823560 192011476 818022053
10204684 41480522 311394448 41480522
477418142 406613596 645267066 406613596
626198151 27162354 626198151 937995093
596654200 479047579 596654200 598128165
380537199 558506891 380537199 628004568
726466776 407088343 880134564 407088343
76346961 693098236 972363304 693098236
377074071 19767006 612993863 19767006
55068661 994084776 541499961 994084776
598799300 864473460 598799300 938680889
305194920 228240096 305194920 577491326
742752469 201204994 742752469 940349952
336474485 974519777 398483529 974519777
355342095 658706779 355342095 998662038
485813710 814192820 529371001 814192820
613266279 19682094 613266279 420139967
618877140 72514819 618877140 668285604
45720916 627313618 330954867 627313618
459499796 5843064 459499796 577364293
21378528 54987473 804218567 54987473
943356231 178209899 943356231 940527650
519470874 661211693 519470874 874292250
472783921 205285429 480469006 205285429
16880734 630869182 57286546 630869182
641251086 83518860 809473940 83518860
435406635 274585049 683365283 274585049
380958324 231328335 793255471 231328335
672560442 279483941 672560442 768998243
330097010 155846170 907746147 155846170
372044319 151991098 372044319 482311396
331722807 994307135 331722807 996957324
290420702 44475296 290420702 444209548
121827445 285451460 219988340 285451460
