1000000000 1000000000 100000
273576603 753501145 273576631 753501145
209049647 751024536 209049647 751024584
730324450 156458455 730324489 156458455
462842489 975962094 462842489 975962116
539789616 391587975 539789616 391588008
443086141 242291883 443086228 242291883
935928542 938420909 935928542 938420969
630805948 759860619 630805948 759860654
741409914 982809752 741410012 982809752
728282555 125545914 728282555 125546006
90041133 66640633 90041133 66640661
112857789 946689927 112857868 946689927
658539489 153231024 658539585 153231024
263210261 198652947 263210286 198652947
16917327 451239134 16917382 451239134
974255586 861409577 974255646 861409577
857944974 663648434 857945036 663648434
3613530 858028194 3613530 858028202
378372610 717557584 378372610 717557648
615295316 677563626 615295316 677563662
901846588 560745376 901846588 560745421
499027620 552889842 499027703 552889842
163472135 657053407 163472135 657053450
648187171 205420025 648187189 205420025
803775784 717037818 803775807 717037818
970437619 509105470 970437619 509105564
143104443 331068634 143104501 331068634
471864742 908075255 471864742 908075285
883608014 181977756 883608014 181977774
558869817 83339008 558869817 83339057
89153738 293804098 89153738 293804177
296207876 570962220 296207913 570962220
948639249 92479257 948639249 92479303
546364061 138595178 546364113 138595178
965388509 94300334 965388509 94300370
228568062 759360292 228568157 759360292
121301818 311473763 121301818 311473812
557176046 726497627 557176046 726497671
224363499 882763186 224363550 882763186
368158543 571088345 368158543 571088442
697840903 893586962 697840903 893587035
814005129 532695588 814005195 532695588
491079496 844720984 491079496 844721081
831885519 920809274 831885537 920809274
439436209 361359437 439436271 361359437
755420032 939492502 755420109 939492502
16943371 339104313 16943409 339104313
150464981 558144603 150464981 558144696
50648991 275404132 50648991 275404224
101876332 792569759 101876336 792569759
963255122 481353325 963255122 481353339
157937866 211276031 157937929 211276031
967659179 339538707 967659238 339538707
827717768 321209174 827717768 321209216
784360843 853550164 784360843 853550217
519532787 845799281 519532787 845799353
860699090 564122427 860699090 564122476
637466851 584775919 637466859 584775919
212587815 749363405 212587874 749363405
191310977 616188532 191310981 616188532
79679447 377102961 79679521 377102961
548650813 496112803 548650896 496112803
784682810 980505300 784682833 980505300
142368772 137240324 142368772 137240390
510692660 678870781 510692665 678870781
326181912 380793834 326181912 380793911
321557356 222183802 321557440 222183802
445120393 401859514 445120393 401859565
982687567 584158746 982687663 584158746
783577214 49922510 783577263 49922510
201090769 808415655 201090845 808415655
79204731 70420873 79204731 70420887
