1000 1000 1000
505 365 505 966
230 81 230 775
463 97 463 787
293 808 941 808
72 884 990 884
989 20 989 857
532 182 532 940
428 119 428 857
374 317 993 317
38 908 998 908
273 37 273 942
648 43 648 997
451 349 451 983
174 233 989 233
188 148 962 148
297 13 297 969
100 379 841 379
383 428 993 428
44 611 940 611
64 253 916 253
114 829 856 829
201 552 983 552
190 307 190 956
735 162 735 878
698 36 698 783
501 6 501 1000
740 161 740 963
388 728 1000 728
592 348 592 967
299 485 951 485
584 70 584 744
399 289 399 905
145 10 145 919
809 149 809 996
231 462 915 462
10 32 996 32
236 637 962 637
355 167 992 167
909 90 909 831
273 169 933 169
320 347 963 347
548 170 548 820
391 449 997 449
261 586 947 586
82 769 732 769
336 744 948 744
111 987 844 987
946 328 946 991
246 369 991 369
85 627 812 627
494 242 494 968
723 341 723 948
153 359 895 359
19 344 19 999
320 89 955 89
764 63 764 798
696 139 696 930
340 583 962 583
793 40 793 987
188 195 188 993
950 182 950 909
278 9 278 628
691 16 691 770
791 143 791 820
212 793 846 793
530 300 530 921
213 895 976 895
138 302 138 981
382 195 1000 195
663 64 663 888
243 244 900 244
212 592 872 592
123 551 862 551
71 838 978 838
540 42 540 997
320 290 937 290
202 240 202 878
138 189 858 189
429 349 429 979
262 897 877 897
311 167 311 984
275 692 979 692
106 466 967 466
61 565 950 565
971 264 971 988
94 243 978 243
195 282 195 929
900 190 900 850
228 922 978 922
113 408 946 408
662 220 662 874
391 9 994 9
406 383 406 997
46 539 942 539
575 271 575 883
823 143 823 789
757 70 757 928
157 544 941 544
389 456 996 456
32 175 991 175
956 7 956 704
172 65 910 65
76 101 767 101
175 862 988 862
197 155 830 155
379 183 379 862
124 980 933 980
30 688 734 688
237 634 959 634
153 298 886 298
250 9 250 995
119 217 987 217
9 516 859 516
322 257 968 257
395 277 395 925
326 160 326 917
357 128 357 970
126 77 126 983
31 503 894 503
112 700 959 700
16 339 844 339
688 38 688 945
874 169 874 778
246 447 947 447
599 172 599 872
608 245 608 938
371 484 975 484
725 128 725 999
78 299 961 299
109 768 1000 768
727 307 727 909
521 144 521 953
359 85 359 973
480 341 480 989
385 116 385 994
640 312 640 950
254 22 960 22
450 16 450 747
256 841 992 841
265 519 999 519
242 534 930 534
586 126 586 846
36 752 976 752
380 137 984 137
219 947 903 947
63 113 782 113
49 580 715 580
320 767 956 767
347 639 987 639
266 425 966 425
31 620 647 620
976 157 976 998
25 108 25 849
159 717 987 717
759 141 759 967
159 126 159 916
163 0 163 974
561 168 561 940
104 21 871 21
74 636 843 636
139 8 139 912
131 112 916 112
98 713 937 713
172 712 980 712
296 382 957 382
49 238 801 238
400 382 400 997
351 663 965 663
632 358 632 984
418 18 418 899
42 139 995 139
234 975 995 975
277 682 934 682
211 59 977 59
591 249 591 984
178 697 825 697
