1000 1000 500
49 222 462 222
177 9 177 400
101 731 622 731
901 278 901 706
383 577 383 776
743 409 743 660
326 552 770 552
819 543 819 931
303 383 324 383
43 153 43 298
597 788 602 788
583 991 771 991
25 35 25 944
839 571 839 660
7 82 7 647
585 379 585 973
77 261 983 261
4 7 351 7
240 214 240 690
691 7 691 28
918 646 918 789
16 171 16 185
695 32 695 332
148 205 148 758
592 164 592 686
732 610 732 725
281 670 281 949
588 522 588 901
480 258 698 258
180 689 719 689
351 781 959 781
511 711 981 711
313 177 370 177
119 467 584 467
725 307 769 307
583 142 583 494
445 582 445 951
278 285 729 285
301 359 301 517
74 746 810 746
250 217 250 835
937 441 937 801
175 523 500 523
393 136 393 670
580 522 962 522
181 494 776 494
122 241 783 241
327 119 327 307
15 390 361 390
546 435 546 828
302 96 829 96
2 263 2 268
578 831 800 831
806 253 806 440
718 443 718 780
279 361 909 361
549 137 549 781
871 499 871 872
328 405 649 405
241 64 241 502
945 190 945 872
1 486 1 515
168 461 168 780
434 196 434 753
126 688 311 688
641 591 971 591
699 3 699 879
59 71 369 71
547 141 981 141
817 115 817 790
777 197 777 956
483 821 535 821
584 13 920 13
108 855 835 855
691 553 691 999
131 466 131 932
442 297 442 489
97 825 523 825
751 300 751 827
150 55 150 892
328 471 328 666
237 588 452 588
805 90 805 164
498 904 502 904
107 828 449 828
168 246 458 246
880 544 880 616
552 586 955 586
510 686 786 686
175 134 175 719
629 593 629 975
672 118 672 910
147 472 147 982
202 246 202 735
139 872 854 872
4 545 348 545
898 447 898 940
123 539 821 539
591 450 742 450
523 121 523 639
710 419 859 419
45 454 393 454
897 303 897 751
670 744 744 744
69 81 69 944
133 998 882 998
917 288 917 921
976 260 976 861
814 34 814 47
623 133 954 133
993 72 993 369
48 800 906 800
874 103 874 125
866 369 866 634
601 88 601 182
686 582 686 752
484 841 584 841
134 945 841 945
545 204 545 972
16 404 86 404
21 13 21 670
380 92 380 359
558 1 558 506
629 270 629 465
359 712 827 712
308 309 431 309
12 151 12 726
419 137 419 483
421 614 940 614
832 831 832 943
596 213 596 804
412 211 412 524
116 671 201 671
445 711 457 711
931 539 931 978
66 541 85 541
44 185 765 185
219 57 219 513
294 870 421 870
447 437 447 982
441 168 441 537
275 293 275 712
780 983 881 983
466 434 720 434
447 837 478 837
89 903 628 903
950 392 950 562
50 134 50 977
250 220 984 220
263 218 263 855
669 180 669 501
565 678 565 776
434 779 434 919
588 760 942 760
21 822 205 822
432 791 540 791
324 229 810 229
610 861 799 861
947 634 947 806
143 933 943 933
424 497 489 497
45 142 528 142
607 279 881 279
418 493 436 493
460 218 616 218
747 207 747 527
27 801 273 801
734 474 842 474
519 342 613 342
247 273 756 273
386 187 386 480
362 557 796 557
275 749 357 749
319 191 430 191
269 223 269 699
739 356 998 356
249 659 979 659
109 71 109 404
551 296 551 632
325 770 325 896
870 358 870 1000
565 67 669 67
238 788 382 788
650 537 650 977
405 213 405 903
956 110 956 235
572 848 572 884
729 338 729 661
703 66 705 66
842 761 842 838
199 87 566 87
448 377 581 377
555 68 555 80
126 503 498 503
39 163 867 163
6 564 972 564
104 221 605 221
884 307 884 511
58 981 651 981
591 113 591 300
90 19 90 690
89 337 89 369
535 354 535 981
274 962 423 962
483 274 974 274
369 323 369 720
16 974 888 974
61 213 228 213
579 492 579 572
326 593 332 593
236 550 236 948
933 133 933 434
200 250 304 250
645 484 955 484
67 628 67 821
916 399 916 698
452 960 877 960
524 383 783 383
965 624 965 790
799 450 799 876
238 967 468 967
508 279 508 455
62 826 344 826
374 56 374 425
555 957 913 957
702 723 702 926
151 489 382 489
541 425 607 425
463 353 624 353
519 285 519 436
617 419 617 680
318 156 975 156
859 805 859 991
652 495 850 495
24 36 980 36
338 143 923 143
119 888 936 888
766 305 766 811
294 83 828 83
580 353 580 420
345 340 345 852
75 871 912 871
194 932 680 932
582 782 791 782
368 112 966 112
395 42 395 160
223 942 669 942
77 645 404 645
275 996 365 996
196 652 425 652
891 75 891 167
199 695 662 695
850 807 850 850
396 931 396 1000
596 134 880 134
22 510 22 733
556 175 556 448
434 104 436 104
89 579 101 579
486 725 486 902
54 799 418 799
953 70 953 949
263 723 724 723
336 294 336 322
728 175 728 550
511 647 511 846
426 755 840 755
724 777 724 800
634 196 634 240
815 924 858 924
6 102 110 102
453 272 453 372
207 54 207 473
76 344 76 925
641 152 818 152
154 304 973 304
439 210 523 210
246 771 546 771
82 372 810 372
135 715 273 715
857 128 857 298
378 331 378 534
346 964 600 964
446 78 877 78
71 690 835 690
106 667 914 667
29 327 389 327
534 718 952 718
491 188 491 432
362 107 639 107
42 947 896 947
234 640 234 850
84 851 84 953
981 887 981 889
31 783 31 795
645 751 1000 751
333 863 916 863
100 89 857 89
155 380 256 380
214 501 214 859
227 11 227 417
37 154 815 154
