1000000000 1000000000 100000
946375404 960061741 946375404 987725529
288186299 329174217 919729330 329174217
932446289 240837483 932446341 240837483
414347351 386786964 622184128 386786964
748838431 396484691 748838465 396484691
938671895 647064799 938671895 647064865
607124976 162194351 607125015 162194351
617217583 709461886 839675765 709461886
753272886 191753004 753272886 910371809
287367611 753463372 341036931 753463372
909588499 596668081 909588499 988183852
129667871 574057816 129667871 574057826
212089621 577189285 212089621 616263162
395700273 67119814 937340598 67119814
300236635 847942977 511267585 847942977
377168761 622611510 961353898 622611510
625936375 108911065 625936375 158575021
556620122 586547446 556620187 586547446
680281582 933688993 680281582 933689088
477906549 694861412 477906549 694861429
534064940 621542455 542728402 621542455
715567971 349074337 715567971 388452163
323184385 971645843 323184385 972585830
70975008 688356992 922871410 688356992
359501452 779722122 359501452 779722214
36127059 211606773 308522271 211606773
712823088 269611812 935647889 269611812
599845406 588100691 884199239 588100691
242086614 189760218 242086614 189760233
126131824 656592265 126131916 656592265
583364839 125040764 583364839 125040784
891738470 530238175 891738470 961694032
980574974 373664854 984223400 373664854
449265694 785938345 449265736 785938345
114280339 710725431 854635428 710725431
95790886 991050437 95790886 991050524
305070035 493114468 305070035 722884668
166790772 88532238 273992628 88532238
314215241 897958783 314215241 944312020
412129063 533665404 412129063 533665488
23097801 513738387 23097801 518651431
371832476 416391220 471356322 416391220
375040321 883964741 375040321 896272254
874824269 568920565 934594906 568920565
713876983 417502744 713876983 417502778
362924064 41073921 781129249 41073921
750642611 169651841 750642704 169651841
440314200 475426075 440314200 806214654
137460244 40689209 137460244 794057140
567400642 164797576 571378932 164797576
852115754 799547402 852115754 994219141
201507500 931418452 201507500 972379705
383525361 543726310 464332867 543726310
798906816 546256904 798906816 546256968
597480647 924745924 597480647 998662901
155322079 686030779 186963623 686030779
558894124 977983393 558894124 981120034
564711958 435152120 564711958 435152137
638104181 85003954 638104181 85004010
27877998 82091881 215943811 82091881
70624376 430837284 70624388 430837284
32334571 173431337 32334571 173431420
592571639 46817063 592571667 46817063
760171931 861031224 954898398 861031224
279907265 329820464 279907265 780444813
759646581 402594140 759646581 860997812
264078733 950603203 264078733 982330152
75505004 676708229 75505004 676708230
983150901 698925806 994730784 698925806
360081864 301500077 360081864 301500174
166214882 806956367 166214882 930540865
454611680 11167592 454611680 568008374
164689550 490966403 164689635 490966403
148137684 496834912 709705063 496834912
633569350 650825310 910399951 650825310
494609259 990559032 494609259 990559095
704668461 51848264 704668461 265080853
176128882 852085568 176128882 966185875
590473631 200413997 590473684 200413997
308905406 488920722 308905408 488920722
221750137 906291652 221750137 989376613
781164726 896516548 781164726 896801716
319930026 982683712 319930026 982683715
371225258 34570941 371225258 645167361
536656885 262995067 731829496 262995067
245730917 3005832 245730917 3005927
85818329 33940807 946397435 33940807
208624421 834491163 485974588 834491163
791344347 609127665 791344347 609127671
887934974 423345115 887934975 423345115
77450058 795008664 77450058 889790743
692154835 890540355 832555015 890540355
27799524 737329943 27799524 737330041
360713244 809538539 726552138 809538539
559490541 92513910 749694045 92513910
834037765 898074274 834037765 898074340
852374756 95209362 907227288 95209362
167521929 501379691 167521929 671439690
684740019 722716100 684740019 853589936
72123968 255903969 72124068 255903969
817166873 137688657 817166873 188026017
534384503 377288488 534384540 377288488
255468406 449117289 914350999 449117289
99619710 349858282 470012961 349858282
840984775 882120717 971005887 882120717
302143078 823622577 302143078 987040968
411248470 670607683 411248470 839303961
115849823 89089108 115849823 224269700
283486164 955796004 283486182 955796004
266955322 163473443 266955322 163473485
148065126 688282521 148065126 688282576
11930046 683021373 594924400 683021373
98637644 308799707 98637644 308799771
505858592 305985475 505858670 305985475
215112655 590575160 639862251 590575160
260830754 650667265 260830754 882141673
981012356 393426681 981012356 393426763
363259405 65717217 363259432 65717217
728881092 508515733 728881092 602721969
226737170 65526776 226737226 65526776
